"","Application","Strain","Insecticide","Dose","Intensity","Subjects","Responded","Mortality_perc"
"50","Tarsal","Kisumu","Permethrin",2e-06,2.66e-06,31,0,0
"51","Tarsal","Kisumu","Permethrin",6e-06,7.98e-06,31,2,6.451612903
"52","Tarsal","Kisumu","Permethrin",1.85e-05,2.4605e-05,24,5,20.83333333
"53","Tarsal","Kisumu","Permethrin",5.5e-05,7.315e-05,37,23,62.16216216
"54","Tarsal","Kisumu","Permethrin",0.00016,0.0002128,39,35,89.74358974
"55","Tarsal","Kisumu","Permethrin",5e-04,0.000665,34,34,100
"56","Tarsal","Tiassale-13","Permethrin",2.6e-05,3.458e-05,29,1,3.448275862
"57","Tarsal","Tiassale-13","Permethrin",0.000128,0.00017024,29,1,3.448275862
"58","Tarsal","Tiassale-13","Permethrin",0.00064,0.0008512,28,4,14.28571429
"59","Tarsal","Tiassale-13","Permethrin",0.0032,0.004256,31,14,45.16129032
"60","Tarsal","Tiassale-13","Permethrin",0.016,0.02128,30,28,93.33333333
"61","Tarsal","Tiassale-13","Permethrin",0.08,0.1064,30,30,100
"62","Tarsal","Tiassale-13","Permethrin",0.4,0.532,30,30,100
"63","Tarsal","Tiassale-13","Permethrin",1.97,2.6201,31,31,100
"64","Tarsal","Banfora","Permethrin",2e-05,2.66e-05,20,0,0
"65","Tarsal","Banfora","Permethrin",4e-05,5.32e-05,22,1,4.545454545
"66","Tarsal","Banfora","Permethrin",6e-05,7.98e-05,19,0,0
"67","Tarsal","Banfora","Permethrin",8e-05,0.0001064,41,0,0
"68","Tarsal","Banfora","Permethrin",1e-04,0.000133,18,1,5.555555556
"69","Tarsal","Banfora","Permethrin",2e-04,0.000266,19,1,5.263157895
"70","Tarsal","Banfora","Permethrin",4e-04,0.000532,21,0,0
"71","Tarsal","Banfora","Permethrin",6e-04,0.000798,22,1,4.545454545
"72","Tarsal","Banfora","Permethrin",8e-04,0.001064,21,6,28.57142857
"73","Tarsal","Banfora","Permethrin",0.001,0.00133,19,2,10.52631579
"74","Tarsal","Banfora","Permethrin",0.01,0.0133,12,12,100
"75","Tarsal","FUMOZ-R","Permethrin",2e-04,0.000266,32,0,0
"76","Tarsal","FUMOZ-R","Permethrin",3e-04,0.000399,31,0,0
"77","Tarsal","FUMOZ-R","Permethrin",4e-04,0.000532,29,1,3.448275862
"78","Tarsal","FUMOZ-R","Permethrin",0.00045,0.0005985,31,0,0
"79","Tarsal","FUMOZ-R","Permethrin",5e-04,0.000665,36,6,16.66666667
"80","Tarsal","FUMOZ-R","Permethrin",0.00055,0.0007315,32,7,21.875
"81","Tarsal","FUMOZ-R","Permethrin",0.0011,0.001463,35,13,37.14285714
"82","Tarsal","FUMOZ-R","Permethrin",0.00248,0.0032984,37,34,91.89189189
"83","Tarsal","FUMOZ-R","Permethrin",0.0032,0.004256,31,31,100
"84","Tarsal","VK72014","Permethrin",0.002,0.00266,31,4,12.90322581
"85","Tarsal","VK72014","Permethrin",0.003,0.00399,32,17,53.125
"86","Tarsal","VK72014","Permethrin",0.004,0.00532,29,15,51.72413793
"87","Tarsal","VK72014","Permethrin",0.005,0.00665,54,22,40.74074074
"88","Tarsal","VK72014","Permethrin",0.006,0.00798,42,28,66.66666667
"89","Tarsal","VK72014","Permethrin",0.007,0.00931,44,34,77.27272727
"90","Tarsal","VK72014","Permethrin",0.01,0.0133,22,21,95.45454545
"91","Tarsal","VK72014","Permethrin",0.05,0.0665,23,23,100
