"","Mort_C","Strain","Insecticide"
"1",0.0504101145686347,"Banfora","Permethrin"
"2",0.0278847037363378,"Banfora","Permethrin"
"3",0.0396415367032119,"Banfora","Permethrin"
"4",0.0354265766313501,"Banfora","Permethrin"
"5",0.10823872915267,"Banfora","Permethrin"
"6",0.0361354399419377,"Banfora","Permethrin"
"7",0.0348337203984565,"Banfora","Permethrin"
"8",0.0521090453382804,"Banfora","Permethrin"
"9",0.0453529089233498,"Banfora","Permethrin"
"10",0.0831601619766837,"Banfora","Permethrin"
"11",0.0428278122467885,"Banfora","Permethrin"
"12",0.078188771206371,"Banfora","Permethrin"
"13",0.0386858405125615,"Banfora","Permethrin"
"14",0.0433291448393358,"Banfora","Permethrin"
"15",0.0444140333517809,"Banfora","Permethrin"
"16",0.0329837079480611,"Banfora","Permethrin"
"17",0.0392516034806828,"Banfora","Permethrin"
"18",0.0306013635369589,"Banfora","Permethrin"
"19",0.0329383842038238,"Banfora","Permethrin"
"20",0.0441873864804228,"Banfora","Permethrin"
"21",0.0320537553796905,"Banfora","Permethrin"
"22",0.0468776301366437,"Banfora","Permethrin"
"23",0.0326310439484422,"Banfora","Permethrin"
"24",0.0373099608550434,"Banfora","Permethrin"
"25",0.0444349428088344,"Banfora","Permethrin"
"26",0.0557642050114102,"Banfora","Permethrin"
"27",0.0408565599581398,"Banfora","Permethrin"
"28",0.0275990421390588,"Banfora","Permethrin"
"29",0.0551609393322298,"Banfora","Permethrin"
"30",0.0430226656814583,"Banfora","Permethrin"
"31",0.0350705964027654,"Banfora","Permethrin"
"32",0.0477913933926007,"Banfora","Permethrin"
"33",0.0230345974312682,"Banfora","Permethrin"
"34",0.0839886813552097,"Banfora","Permethrin"
"35",0.0358031172450135,"Banfora","Permethrin"
"36",0.0493107814183055,"Banfora","Permethrin"
"37",0.029624874496845,"Banfora","Permethrin"
"38",0.0410720825960312,"Banfora","Permethrin"
"39",0.0484338379168392,"Banfora","Permethrin"
"40",0.0415306161938402,"Banfora","Permethrin"
"41",0.0285258421113372,"Banfora","Permethrin"
"42",0.0320043730475569,"Banfora","Permethrin"
"43",0.0393447556630672,"Banfora","Permethrin"
"44",0.0504527032312005,"Banfora","Permethrin"
"45",0.0336795697722503,"Banfora","Permethrin"
"46",0.0412030461078983,"Banfora","Permethrin"
"47",0.0434677697394123,"Banfora","Permethrin"
"48",0.0318319074517363,"Banfora","Permethrin"
"49",0.0306913151147871,"Banfora","Permethrin"
"50",0.0648733691832412,"Banfora","Permethrin"
"51",0.036536394409386,"Banfora","Permethrin"
"52",0.0631135825188251,"Banfora","Permethrin"
"53",0.047101935073018,"Banfora","Permethrin"
"54",0.0359801446901041,"Banfora","Permethrin"
"55",0.028726617730563,"Banfora","Permethrin"
"56",0.041596413612002,"Banfora","Permethrin"
"57",0.0357079813804442,"Banfora","Permethrin"
"58",0.0321757948895262,"Banfora","Permethrin"
"59",0.033244531403439,"Banfora","Permethrin"
"60",0.0402979451972797,"Banfora","Permethrin"
"61",0.0623994374092363,"Banfora","Permethrin"
"62",0.0343222530514489,"Banfora","Permethrin"
"63",0.0339089605309709,"Banfora","Permethrin"
"64",0.0343141826735565,"Banfora","Permethrin"
"65",0.0544792637684257,"Banfora","Permethrin"
"66",0.0312233144685128,"Banfora","Permethrin"
"67",0.0312599409734155,"Banfora","Permethrin"
"68",0.0340798417608778,"Banfora","Permethrin"
"69",0.0453172344616248,"Banfora","Permethrin"
"70",0.0309866685817368,"Banfora","Permethrin"
"71",0.0394073149575646,"Banfora","Permethrin"
"72",0.0309530890208423,"Banfora","Permethrin"
"73",0.0362093409799554,"Banfora","Permethrin"
"74",0.0139515454640194,"Banfora","Permethrin"
"75",0.0483037484060687,"Banfora","Permethrin"
"76",0.026438807211281,"Banfora","Permethrin"
"77",0.0328650115569306,"Banfora","Permethrin"
"78",0.0369260885478633,"Banfora","Permethrin"
"79",0.0411010951594597,"Banfora","Permethrin"
"80",0.0300077187684461,"Banfora","Permethrin"
"81",0.0466081381488258,"Banfora","Permethrin"
"82",0.0635835647998006,"Banfora","Permethrin"
"83",0.0494522461023947,"Banfora","Permethrin"
"84",0.0365536385091499,"Banfora","Permethrin"
"85",0.0229079459644181,"Banfora","Permethrin"
"86",0.0431110744123378,"Banfora","Permethrin"
"87",0.0319323293950915,"Banfora","Permethrin"
"88",0.0437743951729905,"Banfora","Permethrin"
"89",0.0660291335264374,"Banfora","Permethrin"
"90",0.0731611392304511,"Banfora","Permethrin"
"91",0.0303129278741873,"Banfora","Permethrin"
"92",0.0412790915325687,"Banfora","Permethrin"
"93",0.0341144879333924,"Banfora","Permethrin"
"94",0.0666000329016612,"Banfora","Permethrin"
"95",0.0479958314017271,"Banfora","Permethrin"
"96",0.049132774246749,"Banfora","Permethrin"
"97",0.040035884975231,"Banfora","Permethrin"
"98",0.0337786260099274,"Banfora","Permethrin"
"99",0.0454441059682369,"Banfora","Permethrin"
"100",0.0365333603334364,"Banfora","Permethrin"
"101",0.0184365330374551,"Banfora","Permethrin"
"102",0.0483526636951988,"Banfora","Permethrin"
"103",0.0340215199151682,"Banfora","Permethrin"
"104",0.0398591369329051,"Banfora","Permethrin"
"105",0.0391240004634891,"Banfora","Permethrin"
"106",0.0412229926223863,"Banfora","Permethrin"
"107",0.0507281585764597,"Banfora","Permethrin"
"108",0.0474687252518834,"Banfora","Permethrin"
"109",0.0434734078988383,"Banfora","Permethrin"
"110",0.0312009413014708,"Banfora","Permethrin"
"111",0.0258211955608881,"Banfora","Permethrin"
"112",0.0683220955925559,"Banfora","Permethrin"
"113",0.0604464828645776,"Banfora","Permethrin"
"114",0.0241254283733963,"Banfora","Permethrin"
"115",0.0809415789493178,"Banfora","Permethrin"
"116",0.0305324953471331,"Banfora","Permethrin"
"117",0.0342924665242288,"Banfora","Permethrin"
"118",0.0404212011180216,"Banfora","Permethrin"
"119",0.0539243922265749,"Banfora","Permethrin"
"120",0.0401160710315668,"Banfora","Permethrin"
"121",0.0310882941458555,"Banfora","Permethrin"
"122",0.0297982744718292,"Banfora","Permethrin"
"123",0.0241708662657091,"Banfora","Permethrin"
"124",0.0302463603801013,"Banfora","Permethrin"
"125",0.0581594326671066,"Banfora","Permethrin"
"126",0.0430780139804745,"Banfora","Permethrin"
"127",0.0525528314404466,"Banfora","Permethrin"
"128",0.0347921130631535,"Banfora","Permethrin"
"129",0.0380387827504465,"Banfora","Permethrin"
"130",0.0351697989560656,"Banfora","Permethrin"
"131",0.0666026518900147,"Banfora","Permethrin"
"132",0.0425834901679687,"Banfora","Permethrin"
"133",0.0368167991946981,"Banfora","Permethrin"
"134",0.0368608398826186,"Banfora","Permethrin"
"135",0.0428518075219239,"Banfora","Permethrin"
"136",0.0291766848129104,"Banfora","Permethrin"
"137",0.0569075245131757,"Banfora","Permethrin"
"138",0.034708445150534,"Banfora","Permethrin"
"139",0.0389445169004655,"Banfora","Permethrin"
"140",0.0314921052858804,"Banfora","Permethrin"
"141",0.0372362888488734,"Banfora","Permethrin"
"142",0.0536187894138802,"Banfora","Permethrin"
"143",0.0546945310447617,"Banfora","Permethrin"
"144",0.0522510725463821,"Banfora","Permethrin"
"145",0.034093339211769,"Banfora","Permethrin"
"146",0.0180276746017806,"Banfora","Permethrin"
"147",0.0368736198079952,"Banfora","Permethrin"
"148",0.0308387052591157,"Banfora","Permethrin"
"149",0.038645812337303,"Banfora","Permethrin"
"150",0.0312942802486117,"Banfora","Permethrin"
"151",0.0429068935063205,"Banfora","Permethrin"
"152",0.0172495137364908,"Banfora","Permethrin"
"153",0.0404909417897453,"Banfora","Permethrin"
"154",0.0296386890927374,"Banfora","Permethrin"
"155",0.032524035345314,"Banfora","Permethrin"
"156",0.0233985139749802,"Banfora","Permethrin"
"157",0.0443744834418425,"Banfora","Permethrin"
"158",0.0355447042598731,"Banfora","Permethrin"
"159",0.0381070099192897,"Banfora","Permethrin"
"160",0.0822740888613201,"Banfora","Permethrin"
"161",0.138197524912053,"Banfora","Permethrin"
"162",0.0300988690434068,"Banfora","Permethrin"
"163",0.0506155751711186,"Banfora","Permethrin"
"164",0.0224357789481152,"Banfora","Permethrin"
"165",0.0347449384541705,"Banfora","Permethrin"
"166",0.0452231330533304,"Banfora","Permethrin"
"167",0.0477932172969364,"Banfora","Permethrin"
"168",0.0313586182974383,"Banfora","Permethrin"
"169",0.0392770064148781,"Banfora","Permethrin"
"170",0.0412907389293019,"Banfora","Permethrin"
"171",0.0350558592245103,"Banfora","Permethrin"
"172",0.0553769393516235,"Banfora","Permethrin"
"173",0.0566028592026436,"Banfora","Permethrin"
"174",0.0326617056201302,"Banfora","Permethrin"
"175",0.0748366630811122,"Banfora","Permethrin"
"176",0.0241020004613419,"Banfora","Permethrin"
"177",0.0337903625810407,"Banfora","Permethrin"
"178",0.0312699260703249,"Banfora","Permethrin"
"179",0.0251133805419484,"Banfora","Permethrin"
"180",0.0338219969627657,"Banfora","Permethrin"
"181",0.0426326688601023,"Banfora","Permethrin"
"182",0.0663299395133398,"Banfora","Permethrin"
"183",0.0391813662382161,"Banfora","Permethrin"
"184",0.0143241247904959,"Banfora","Permethrin"
"185",0.0427500646310009,"Banfora","Permethrin"
"186",0.0339707970122839,"Banfora","Permethrin"
"187",0.0416579214555514,"Banfora","Permethrin"
"188",0.0471996614243607,"Banfora","Permethrin"
"189",0.0249497163203891,"Banfora","Permethrin"
"190",0.052237429036876,"Banfora","Permethrin"
"191",0.0302195296812165,"Banfora","Permethrin"
"192",0.0535794402078157,"Banfora","Permethrin"
"193",0.0478472446435927,"Banfora","Permethrin"
"194",0.027474365471874,"Banfora","Permethrin"
"195",0.0464814104126129,"Banfora","Permethrin"
"196",0.0283370833940297,"Banfora","Permethrin"
"197",0.0452783959193896,"Banfora","Permethrin"
"198",0.0376748711066581,"Banfora","Permethrin"
"199",0.0312925127276427,"Banfora","Permethrin"
"200",0.0701933570238138,"Banfora","Permethrin"
"201",0.0285999947693425,"Banfora","Permethrin"
"202",0.035350888139411,"Banfora","Permethrin"
"203",0.0279801358243494,"Banfora","Permethrin"
"204",0.0635496890684493,"Banfora","Permethrin"
"205",0.0412890389945822,"Banfora","Permethrin"
"206",0.0581264214780388,"Banfora","Permethrin"
"207",0.0351353552698614,"Banfora","Permethrin"
"208",0.0343308020648023,"Banfora","Permethrin"
"209",0.055011456338639,"Banfora","Permethrin"
"210",0.0612701248951707,"Banfora","Permethrin"
"211",0.0454877018164371,"Banfora","Permethrin"
"212",0.0423885582817051,"Banfora","Permethrin"
"213",0.0455062503510155,"Banfora","Permethrin"
"214",0.0295564435990777,"Banfora","Permethrin"
"215",0.0327869172506064,"Banfora","Permethrin"
"216",0.031459197629627,"Banfora","Permethrin"
"217",0.0293759034164154,"Banfora","Permethrin"
"218",0.051667306904493,"Banfora","Permethrin"
"219",0.0506024444184849,"Banfora","Permethrin"
"220",0.0223809573814964,"Banfora","Permethrin"
"221",0.0424835766880971,"Banfora","Permethrin"
"222",0.0297610837215677,"Banfora","Permethrin"
"223",0.0346263385396828,"Banfora","Permethrin"
"224",0.0309311190685764,"Banfora","Permethrin"
"225",0.0405057819048657,"Banfora","Permethrin"
"226",0.0358323699247757,"Banfora","Permethrin"
"227",0.0483165423137969,"Banfora","Permethrin"
"228",0.0478507054421321,"Banfora","Permethrin"
"229",0.0532748561838246,"Banfora","Permethrin"
"230",0.0562499582387573,"Banfora","Permethrin"
"231",0.0441361189822619,"Banfora","Permethrin"
"232",0.034390701231443,"Banfora","Permethrin"
"233",0.0273894112392123,"Banfora","Permethrin"
"234",0.0112426199123035,"Banfora","Permethrin"
"235",0.0213998220646275,"Banfora","Permethrin"
"236",0.0653333916240492,"Banfora","Permethrin"
"237",0.0685855771480043,"Banfora","Permethrin"
"238",0.0551548793614451,"Banfora","Permethrin"
"239",0.055273486781845,"Banfora","Permethrin"
"240",0.066629599442991,"Banfora","Permethrin"
"241",0.035076874332152,"Banfora","Permethrin"
"242",0.0433781458446022,"Banfora","Permethrin"
"243",0.0429427066013951,"Banfora","Permethrin"
"244",0.0341136952309979,"Banfora","Permethrin"
"245",0.038248250837357,"Banfora","Permethrin"
"246",0.0620443940135457,"Banfora","Permethrin"
"247",0.0420701783907161,"Banfora","Permethrin"
"248",0.0363245035029582,"Banfora","Permethrin"
"249",0.0598654508547084,"Banfora","Permethrin"
"250",0.0350539068127766,"Banfora","Permethrin"
"251",0.0403713802040079,"Banfora","Permethrin"
"252",0.0407655306727278,"Banfora","Permethrin"
"253",0.0548046872713872,"Banfora","Permethrin"
"254",0.0230186231960802,"Banfora","Permethrin"
"255",0.0418634959643316,"Banfora","Permethrin"
"256",0.0463494411565471,"Banfora","Permethrin"
"257",0.0637219935831852,"Banfora","Permethrin"
"258",0.0891161041734525,"Banfora","Permethrin"
"259",0.0242194319242447,"Banfora","Permethrin"
"260",0.0327720858034506,"Banfora","Permethrin"
"261",0.0980067485487655,"Banfora","Permethrin"
"262",0.0905524726971079,"Banfora","Permethrin"
"263",0.0389066288042509,"Banfora","Permethrin"
"264",0.0630527182328299,"Banfora","Permethrin"
"265",0.0495537807647676,"Banfora","Permethrin"
"266",0.0551230079093188,"Banfora","Permethrin"
"267",0.0427718824089073,"Banfora","Permethrin"
"268",0.0301115488783985,"Banfora","Permethrin"
"269",0.0382432365776565,"Banfora","Permethrin"
"270",0.034553016499698,"Banfora","Permethrin"
"271",0.0732925755728569,"Banfora","Permethrin"
"272",0.065805117517101,"Banfora","Permethrin"
"273",0.0275640071075798,"Banfora","Permethrin"
"274",0.0357974088050219,"Banfora","Permethrin"
"275",0.0435477299661855,"Banfora","Permethrin"
"276",0.0486886306920741,"Banfora","Permethrin"
"277",0.0315864204328361,"Banfora","Permethrin"
"278",0.0454848966330416,"Banfora","Permethrin"
"279",0.0392478402604523,"Banfora","Permethrin"
