"","Mort_C","Strain","Insecticide"
"1",0.0164224759273102,"FUMOZ-R","Permethrin"
"2",0.033846652264486,"FUMOZ-R","Permethrin"
"3",0.0407807147627869,"FUMOZ-R","Permethrin"
"4",0.0321357311366165,"FUMOZ-R","Permethrin"
"5",0.0264500428410194,"FUMOZ-R","Permethrin"
"6",0.0424704099895425,"FUMOZ-R","Permethrin"
"7",0.0333060079256063,"FUMOZ-R","Permethrin"
"8",0.0339349323790886,"FUMOZ-R","Permethrin"
"9",0.026283626047879,"FUMOZ-R","Permethrin"
"10",0.0267164284837895,"FUMOZ-R","Permethrin"
"11",0.0438787109279183,"FUMOZ-R","Permethrin"
"12",0.0222680419152111,"FUMOZ-R","Permethrin"
"13",0.0220545334455278,"FUMOZ-R","Permethrin"
"14",0.038816090981268,"FUMOZ-R","Permethrin"
"15",0.0440677609024454,"FUMOZ-R","Permethrin"
"16",0.0369354457434849,"FUMOZ-R","Permethrin"
"17",0.0344420856094412,"FUMOZ-R","Permethrin"
"18",0.0436991650055513,"FUMOZ-R","Permethrin"
"19",0.0479669842637898,"FUMOZ-R","Permethrin"
"20",0.0385562941281064,"FUMOZ-R","Permethrin"
"21",0.0290999486912995,"FUMOZ-R","Permethrin"
"22",0.0412661860930087,"FUMOZ-R","Permethrin"
"23",0.0314725333426074,"FUMOZ-R","Permethrin"
"24",0.0244106253502783,"FUMOZ-R","Permethrin"
"25",0.034957386529264,"FUMOZ-R","Permethrin"
"26",0.0313511720516106,"FUMOZ-R","Permethrin"
"27",0.0356234015544034,"FUMOZ-R","Permethrin"
"28",0.0353370493812989,"FUMOZ-R","Permethrin"
"29",0.0482663508326572,"FUMOZ-R","Permethrin"
"30",0.0273369203447367,"FUMOZ-R","Permethrin"
"31",0.0336403804357609,"FUMOZ-R","Permethrin"
"32",0.0389883245463895,"FUMOZ-R","Permethrin"
"33",0.0305230912730401,"FUMOZ-R","Permethrin"
"34",0.0381434522076117,"FUMOZ-R","Permethrin"
"35",0.0365318025850707,"FUMOZ-R","Permethrin"
"36",0.0486033581795856,"FUMOZ-R","Permethrin"
"37",0.0166568878797739,"FUMOZ-R","Permethrin"
"38",0.0373234125331794,"FUMOZ-R","Permethrin"
"39",0.0463844483322379,"FUMOZ-R","Permethrin"
"40",0.0264233804782171,"FUMOZ-R","Permethrin"
"41",0.0170119552535209,"FUMOZ-R","Permethrin"
"42",0.0417937702729857,"FUMOZ-R","Permethrin"
"43",0.0122209708259283,"FUMOZ-R","Permethrin"
"44",0.0555857675993797,"FUMOZ-R","Permethrin"
"45",0.0352115036199051,"FUMOZ-R","Permethrin"
"46",0.0445411156392355,"FUMOZ-R","Permethrin"
"47",0.0278514339356717,"FUMOZ-R","Permethrin"
"48",0.0507509613639088,"FUMOZ-R","Permethrin"
"49",0.0285079580728566,"FUMOZ-R","Permethrin"
"50",0.0428437089365623,"FUMOZ-R","Permethrin"
"51",0.0276512838267473,"FUMOZ-R","Permethrin"
"52",0.0355306377021361,"FUMOZ-R","Permethrin"
"53",0.0266376393182828,"FUMOZ-R","Permethrin"
"54",0.0627374759165322,"FUMOZ-R","Permethrin"
"55",0.0412950391902125,"FUMOZ-R","Permethrin"
"56",0.0279016770448523,"FUMOZ-R","Permethrin"
"57",0.025011616699638,"FUMOZ-R","Permethrin"
"58",0.0370222422332381,"FUMOZ-R","Permethrin"
"59",0.0400433295290514,"FUMOZ-R","Permethrin"
"60",0.0424164981567159,"FUMOZ-R","Permethrin"
"61",0.032116569926327,"FUMOZ-R","Permethrin"
"62",0.0230638229612094,"FUMOZ-R","Permethrin"
"63",0.0238815833153733,"FUMOZ-R","Permethrin"
"64",0.0455332711792819,"FUMOZ-R","Permethrin"
