"","Mort_C","Strain","Insecticide"
"1",0.00362706014162167,"Kisumu","Permethrin"
"2",0.00731304914067506,"Kisumu","Permethrin"
"3",0.00294195023177473,"Kisumu","Permethrin"
"4",0.0124126528778427,"Kisumu","Permethrin"
"5",0.0037548876345122,"Kisumu","Permethrin"
"6",0.00615194482067559,"Kisumu","Permethrin"
"7",0.00428221173855902,"Kisumu","Permethrin"
"8",0.0119400915963576,"Kisumu","Permethrin"
"9",0.00936387675847524,"Kisumu","Permethrin"
"10",NA,"Kisumu","Permethrin"
"11",0.00522766125274616,"Kisumu","Permethrin"
"12",0.00470359211914098,"Kisumu","Permethrin"
"13",0.0126884533434343,"Kisumu","Permethrin"
"14",0.00341519778656822,"Kisumu","Permethrin"
"15",0.00786091720188936,"Kisumu","Permethrin"
"16",0.00854457120470449,"Kisumu","Permethrin"
"17",0.00776472977397209,"Kisumu","Permethrin"
"18",0.0083938298197088,"Kisumu","Permethrin"
"19",0.00706734290545282,"Kisumu","Permethrin"
"20",0.0142479180277675,"Kisumu","Permethrin"
"21",0.00407990681866146,"Kisumu","Permethrin"
"22",0.0162004163876269,"Kisumu","Permethrin"
"23",0.0102255260041798,"Kisumu","Permethrin"
"24",0.00958863139834622,"Kisumu","Permethrin"
"25",0.00676126435695154,"Kisumu","Permethrin"
"26",0.0109671958040469,"Kisumu","Permethrin"
"27",0.011091669466389,"Kisumu","Permethrin"
"28",0.0161801063835336,"Kisumu","Permethrin"
"29",0.00622918639423568,"Kisumu","Permethrin"
"30",0.0105054522882416,"Kisumu","Permethrin"
"31",0.00908381511984607,"Kisumu","Permethrin"
"32",0.00773948927648742,"Kisumu","Permethrin"
"33",0.00599537956196644,"Kisumu","Permethrin"
"34",0.00732296595734864,"Kisumu","Permethrin"
"35",0.00500201070945994,"Kisumu","Permethrin"
"36",0.0108095967071566,"Kisumu","Permethrin"
"37",0.00663060964229971,"Kisumu","Permethrin"
"38",0.00654272122804944,"Kisumu","Permethrin"
"39",0.00344452438149049,"Kisumu","Permethrin"
"40",0.00503561269101925,"Kisumu","Permethrin"
