"","Mort_C","Strain","Insecticide"
"1",0.060012620591049,"Tiassale-13","Permethrin"
"2",0.0436368029783721,"Tiassale-13","Permethrin"
"3",0.0413849189616805,"Tiassale-13","Permethrin"
"4",0.115050468819532,"Tiassale-13","Permethrin"
"5",0.0672743020818931,"Tiassale-13","Permethrin"
"6",0.0534053687295767,"Tiassale-13","Permethrin"
"7",0.0467191323188221,"Tiassale-13","Permethrin"
"8",0.0986304327250078,"Tiassale-13","Permethrin"
"9",0.0749769874365736,"Tiassale-13","Permethrin"
"10",0.00514336306073053,"Tiassale-13","Permethrin"
"11",0.00825897508943266,"Tiassale-13","Permethrin"
"12",0.077444337901262,"Tiassale-13","Permethrin"
"13",0.0350576659603231,"Tiassale-13","Permethrin"
"14",0.104299846533768,"Tiassale-13","Permethrin"
"15",0.034759866401044,"Tiassale-13","Permethrin"
"16",0.0857340379893699,"Tiassale-13","Permethrin"
"17",0.106454422717148,"Tiassale-13","Permethrin"
"18",0.0837033821386927,"Tiassale-13","Permethrin"
"19",0.0110104204115626,"Tiassale-13","Permethrin"
"20",0.0890871913004404,"Tiassale-13","Permethrin"
"21",0.081777788299796,"Tiassale-13","Permethrin"
"22",0.0337304244024188,"Tiassale-13","Permethrin"
"23",0.03292175434408,"Tiassale-13","Permethrin"
"24",0.0226507357809241,"Tiassale-13","Permethrin"
"25",0.0247917425558777,"Tiassale-13","Permethrin"
"26",0.0141202363286577,"Tiassale-13","Permethrin"
"27",0.0763536941179545,"Tiassale-13","Permethrin"
"28",0.0688629286854575,"Tiassale-13","Permethrin"
"29",0.0358409624986954,"Tiassale-13","Permethrin"
"30",0.0572658517645075,"Tiassale-13","Permethrin"
"31",0.0784329727402112,"Tiassale-13","Permethrin"
"32",0.0685970324450091,"Tiassale-13","Permethrin"
"33",0.0433172349484858,"Tiassale-13","Permethrin"
"34",0.129990953673257,"Tiassale-13","Permethrin"
"35",0.121158247228657,"Tiassale-13","Permethrin"
"36",0.0773512693455592,"Tiassale-13","Permethrin"
"37",0.0440091506464421,"Tiassale-13","Permethrin"
"38",0.0770272061907675,"Tiassale-13","Permethrin"
"39",0.0333287037345175,"Tiassale-13","Permethrin"
"40",0.0824916683883535,"Tiassale-13","Permethrin"
