"","Mort_C","Strain","Insecticide"
"1",0.0744457385689464,"VK72014","Permethrin"
"2",0.0970898256743179,"VK72014","Permethrin"
"3",0.0399142909581707,"VK72014","Permethrin"
"4",0.0474515355053293,"VK72014","Permethrin"
"5",0.0435440166717141,"VK72014","Permethrin"
"6",0.0721664377906113,"VK72014","Permethrin"
"7",0.0730457437368816,"VK72014","Permethrin"
"8",0.0544771515066496,"VK72014","Permethrin"
"9",0.0736395401192974,"VK72014","Permethrin"
"10",0.0577156650660874,"VK72014","Permethrin"
"11",0.0576337105204364,"VK72014","Permethrin"
"12",0.0442567691645323,"VK72014","Permethrin"
"13",0.0727045426213284,"VK72014","Permethrin"
"14",0.0781200504020653,"VK72014","Permethrin"
"15",0.079466942031265,"VK72014","Permethrin"
"16",0.0483702610135058,"VK72014","Permethrin"
"17",0.0396577138954388,"VK72014","Permethrin"
"18",0.0468662402586583,"VK72014","Permethrin"
"19",0.0552957102523428,"VK72014","Permethrin"
"20",0.0369272023754931,"VK72014","Permethrin"
"21",0.0656722867504299,"VK72014","Permethrin"
"22",0.0789047065178455,"VK72014","Permethrin"
"23",0.0693988052840197,"VK72014","Permethrin"
"24",0.0706907880506895,"VK72014","Permethrin"
"25",0.0627427042442144,"VK72014","Permethrin"
"26",0.0933883287473378,"VK72014","Permethrin"
"27",0.0760979163987115,"VK72014","Permethrin"
"28",0.0954704154407207,"VK72014","Permethrin"
"29",0.0497450712757565,"VK72014","Permethrin"
"30",0.0541692186331379,"VK72014","Permethrin"
"31",0.0479559710103186,"VK72014","Permethrin"
"32",0.0816637758223901,"VK72014","Permethrin"
"33",0.0795887838852227,"VK72014","Permethrin"
"34",0.0694323754284706,"VK72014","Permethrin"
"35",0.035658038113432,"VK72014","Permethrin"
"36",0.0720456454947901,"VK72014","Permethrin"
"37",0.0717521581727644,"VK72014","Permethrin"
"38",0.0748444104491479,"VK72014","Permethrin"
"39",0.0837891117787565,"VK72014","Permethrin"
"40",0.0860388056004296,"VK72014","Permethrin"
"41",0.0718180940229346,"VK72014","Permethrin"
"42",0.0835017378311643,"VK72014","Permethrin"
