"","V1","Application","Strain","Insecticide","Dose","Intensity","Subjects","Responded","Mortality_perc","lower","upper","dat"
"1",64,"Tarsal","Banfora","Permethrin",2e-05,2.66e-05,20,0,0,NA,NA,NA
"2",65,"Tarsal","Banfora","Permethrin",4e-05,5.32e-05,22,1,4.545454545,NA,NA,NA
"3",66,"Tarsal","Banfora","Permethrin",6e-05,7.98e-05,19,0,0,NA,NA,NA
"4",67,"Tarsal","Banfora","Permethrin",8e-05,0.0001064,41,0,0,NA,NA,NA
"5",68,"Tarsal","Banfora","Permethrin",1e-04,0.000133,18,1,5.555555556,NA,NA,NA
"6",69,"Tarsal","Banfora","Permethrin",2e-04,0.000266,19,1,5.263157895,NA,NA,NA
"7",70,"Tarsal","Banfora","Permethrin",4e-04,0.000532,21,0,0,NA,NA,NA
"8",71,"Tarsal","Banfora","Permethrin",6e-04,0.000798,22,1,4.545454545,NA,NA,NA
"9",72,"Tarsal","Banfora","Permethrin",8e-04,0.001064,21,6,28.57142857,NA,NA,NA
"10",73,"Tarsal","Banfora","Permethrin",0.001,0.00133,19,2,10.52631579,NA,NA,NA
"11",74,"Tarsal","Banfora","Permethrin",0.01,0.0133,12,12,100,NA,NA,NA
"12",NA,NA,"Banfora","Permethrin",0,NA,NA,NA,0,0,0,"sim"
"13",NA,NA,"Banfora","Permethrin",7.91161481279192e-06,NA,NA,NA,0.00551119396884947,0,0.0517739929037319,"sim"
"14",NA,NA,"Banfora","Permethrin",3.16464592511677e-05,NA,NA,NA,0.0357234692365453,5.54001289287953e-11,0.295808641691177,"sim"
"15",NA,NA,"Banfora","Permethrin",7.12045333151272e-05,NA,NA,NA,0.117081635440095,2.0021309055096e-08,0.808289045082584,"sim"
"16",NA,NA,"Banfora","Permethrin",0.000126585837004671,NA,NA,NA,0.288823371828468,1.22453941708844e-06,1.68481325905012,"sim"
"17",NA,NA,"Banfora","Permethrin",0.000197790370319798,NA,NA,NA,0.610310919884977,3.63372567135922e-05,3.00073089722883,"sim"
"18",NA,NA,"Banfora","Permethrin",0.000284818133260509,NA,NA,NA,1.1724627787124,0.00051754668777354,4.79593235501811,"sim"
"19",NA,NA,"Banfora","Permethrin",0.000387669125826804,NA,NA,NA,2.11606037046387,0.00426652253481791,7.09210733043736,"sim"
"20",NA,NA,"Banfora","Permethrin",0.000506343348018683,NA,NA,NA,3.66073439197498,0.0302576560814941,10.1130008635821,"sim"
"21",NA,NA,"Banfora","Permethrin",0.000640840799836145,NA,NA,NA,6.14756443308907,0.165035369780626,14.1076410782414,"sim"
"22",NA,NA,"Banfora","Permethrin",0.000791161481279191,NA,NA,NA,10.0844238348286,0.639361999695261,20.0292825415255,"sim"
"23",NA,NA,"Banfora","Permethrin",0.000957305392347822,NA,NA,NA,16.1433919057144,1.95144150095299,30.9566111797098,"sim"
"24",NA,NA,"Banfora","Permethrin",0.00113927253304204,NA,NA,NA,24.8844631857286,4.00298987326265,52.1555431985911,"sim"
"25",NA,NA,"Banfora","Permethrin",0.00133706290336183,NA,NA,NA,35.7308692474951,7.0396817112978,79.211214218655,"sim"
"26",NA,NA,"Banfora","Permethrin",0.00155067650330722,NA,NA,NA,46.7001246006267,10.655574803379,96.3469129749998,"sim"
"27",NA,NA,"Banfora","Permethrin",0.00178011333287818,NA,NA,NA,56.3849495893057,15.0915972730853,99.8197859156158,"sim"
"28",NA,NA,"Banfora","Permethrin",0.00202537339207473,NA,NA,NA,64.455413739725,19.9138885350787,99.9984695170339,"sim"
"29",NA,NA,"Banfora","Permethrin",0.00228645668089686,NA,NA,NA,71.0427222490147,24.6425165632133,99.9999972453554,"sim"
"30",NA,NA,"Banfora","Permethrin",0.00256336319934458,NA,NA,NA,76.3806981949681,29.4122923428984,99.9999999971857,"sim"
"31",NA,NA,"Banfora","Permethrin",0.00285609294741788,NA,NA,NA,80.6978363085434,34.4637973430189,99.9999999999973,"sim"
"32",NA,NA,"Banfora","Permethrin",0.00316464592511677,NA,NA,NA,84.1844568053325,39.6413971396058,100,"sim"
"33",NA,NA,"Banfora","Permethrin",0.00348902213244123,NA,NA,NA,87.0183509603119,44.7880592701535,100,"sim"
"34",NA,NA,"Banfora","Permethrin",0.00382922156939129,NA,NA,NA,89.3321510533244,49.8341967163414,100,"sim"
"35",NA,NA,"Banfora","Permethrin",0.00418524423596692,NA,NA,NA,91.2238584461059,54.4239352105581,100,"sim"
"36",NA,NA,"Banfora","Permethrin",0.00455709013216814,NA,NA,NA,92.777378342987,59.1669974612522,100,"sim"
"37",NA,NA,"Banfora","Permethrin",0.00494475925799495,NA,NA,NA,94.058884076632,63.227456033716,100,"sim"
"38",NA,NA,"Banfora","Permethrin",0.00534825161344734,NA,NA,NA,95.1114124194519,67.2541762923358,100,"sim"
"39",NA,NA,"Banfora","Permethrin",0.00576756719852531,NA,NA,NA,95.9738583505964,71.0305896663286,100,"sim"
"40",NA,NA,"Banfora","Permethrin",0.00620270601322886,NA,NA,NA,96.6807205551191,74.5385128522495,100,"sim"
"41",NA,NA,"Banfora","Permethrin",0.006653668057558,NA,NA,NA,97.2597521035587,77.571061301419,100,"sim"
"42",NA,NA,"Banfora","Permethrin",0.00712045333151272,NA,NA,NA,97.7370249043847,80.4500191058584,100,"sim"
"43",NA,NA,"Banfora","Permethrin",0.00760306183509303,NA,NA,NA,98.1309753652138,83.0729271614129,100,"sim"
"44",NA,NA,"Banfora","Permethrin",0.00810149356829892,NA,NA,NA,98.4533523420023,85.3229426968281,100,"sim"
"45",NA,NA,"Banfora","Permethrin",0.00861574853113039,NA,NA,NA,98.7157617071572,87.3211206627974,100,"sim"
"46",NA,NA,"Banfora","Permethrin",0.00914582672358745,NA,NA,NA,98.9293554861381,89.032624523424,100,"sim"
"47",NA,NA,"Banfora","Permethrin",0.00969172814567009,NA,NA,NA,99.1026570887614,90.6267654066344,100,"sim"
"48",NA,NA,"Banfora","Permethrin",0.0102534527973783,NA,NA,NA,99.2431328298271,91.8545422354843,100,"sim"
"49",NA,NA,"Banfora","Permethrin",0.0108310006787121,NA,NA,NA,99.3578615096789,92.8982601949284,100,"sim"
"50",NA,NA,"Banfora","Permethrin",0.0114243717896715,NA,NA,NA,99.4524502098794,93.6851893119459,100,"sim"
"51",NA,NA,"Banfora","Permethrin",0.0120335661302565,NA,NA,NA,99.5309389127539,94.5069389254341,100,"sim"
"52",NA,NA,"Banfora","Permethrin",0.0126585837004671,NA,NA,NA,99.5963614249649,95.2085986392482,100,"sim"
"53",NA,NA,"Banfora","Permethrin",0.0132994245003032,NA,NA,NA,99.6511018126039,95.8828846361033,100,"sim"
"54",NA,NA,"Banfora","Permethrin",0.0139560885297649,NA,NA,NA,99.6970696613062,96.4501819515415,100,"sim"
"55",NA,NA,"Banfora","Permethrin",0.0146285757888522,NA,NA,NA,99.7358069022538,96.9292467848604,100,"sim"
"56",NA,NA,"Banfora","Permethrin",0.0153168862775651,NA,NA,NA,99.7685651560167,97.3111356656692,100,"sim"
"57",NA,NA,"Banfora","Permethrin",0.0160210199959036,NA,NA,NA,99.7963646033276,97.7022745320613,100,"sim"
"58",NA,NA,"Banfora","Permethrin",0.0167409769438677,NA,NA,NA,99.8200395873324,98.0033317216491,100,"sim"
"59",NA,NA,"Banfora","Permethrin",0.0174767571214573,NA,NA,NA,99.8402743966567,98.2578947877195,100,"sim"
"60",NA,NA,"Banfora","Permethrin",0.0182283605286726,NA,NA,NA,99.8576316451809,98.4984630727421,100,"sim"
"61",NA,NA,"Banfora","Permethrin",0.0189957871655134,NA,NA,NA,99.8725749704149,98.6779053091303,100,"sim"
"62",NA,NA,"Banfora","Permethrin",0.0197790370319798,NA,NA,NA,99.8854873009819,98.8207548104422,100,"sim"
"63",NA,NA,"Banfora","Permethrin",0.0205781101280718,NA,NA,NA,99.8966856219057,98.9756308765501,100,"sim"
"64",NA,NA,"Banfora","Permethrin",0.0213930064537893,NA,NA,NA,99.9064329439914,99.0917076857272,100,"sim"
"65",NA,NA,"Banfora","Permethrin",0.0222237260091325,NA,NA,NA,99.9149480260766,99.176123865416,100,"sim"
"66",NA,NA,"Banfora","Permethrin",0.0230702687941012,NA,NA,NA,99.92241328363,99.2860323642437,100,"sim"
"67",NA,NA,"Banfora","Permethrin",0.0239326348086955,NA,NA,NA,99.9289812298969,99.3616996768997,100,"sim"
"68",NA,NA,"Banfora","Permethrin",0.0248108240529154,NA,NA,NA,99.9347797279359,99.4346359135503,100,"sim"
"69",NA,NA,"Banfora","Permethrin",0.0257048365267609,NA,NA,NA,99.9399162781624,99.5000220622511,100,"sim"
"70",NA,NA,"Banfora","Permethrin",0.026614672230232,NA,NA,NA,99.9444815230184,99.5482460033333,100,"sim"
"71",NA,NA,"Banfora","Permethrin",0.0275403311633287,NA,NA,NA,99.9485521157767,99.610569439465,100,"sim"
"72",NA,NA,"Banfora","Permethrin",0.0284818133260509,NA,NA,NA,99.9521930725366,99.6572096832264,100,"sim"
"73",NA,NA,"Banfora","Permethrin",0.0294391187183987,NA,NA,NA,99.955459703859,99.6944737689654,100,"sim"
"74",NA,NA,"Banfora","Permethrin",0.0304122473403721,NA,NA,NA,99.9583992041963,99.7282835247109,100,"sim"
"75",NA,NA,"Banfora","Permethrin",0.0314011991919711,NA,NA,NA,99.9610519624502,99.7567231961657,100,"sim"
"76",NA,NA,"Banfora","Permethrin",0.0324059742731957,NA,NA,NA,99.9634526449972,99.7848136664234,100,"sim"
"77",NA,NA,"Banfora","Permethrin",0.0334265725840458,NA,NA,NA,99.9656310928066,99.8035083625892,100,"sim"
"78",NA,NA,"Banfora","Permethrin",0.0344629941245216,NA,NA,NA,99.9676130664148,99.8303505596792,100,"sim"
"79",NA,NA,"Banfora","Permethrin",0.0355152388946229,NA,NA,NA,99.96942086616,99.8458912787369,100,"sim"
"80",NA,NA,"Banfora","Permethrin",0.0365833068943498,NA,NA,NA,99.9710738499364,99.8597962701202,100,"sim"
"81",NA,NA,"Banfora","Permethrin",0.0376671981237023,NA,NA,NA,99.9725888665696,99.8742153095711,100,"sim"
"82",NA,NA,"Banfora","Permethrin",0.0387669125826804,NA,NA,NA,99.9739806195544,99.889051943394,100,"sim"
"83",NA,NA,"Banfora","Permethrin",0.039882450271284,NA,NA,NA,99.9752619731752,99.9004145656854,100,"sim"
"84",NA,NA,"Banfora","Permethrin",0.0410138111895133,NA,NA,NA,99.9764442108345,99.9088984888814,100,"sim"
"85",NA,NA,"Banfora","Permethrin",0.0421609953373681,NA,NA,NA,99.9775372536333,99.9200568692676,100,"sim"
"86",NA,NA,"Banfora","Permethrin",0.0433240027148485,NA,NA,NA,99.9785498458057,99.9286446333489,100,"sim"
"87",NA,NA,"Banfora","Permethrin",0.0445028333219545,NA,NA,NA,99.979489712439,99.9341801015789,100,"sim"
"88",NA,NA,"Banfora","Permethrin",0.0456974871586861,NA,NA,NA,99.9803636939598,99.9412727284237,100,"sim"
"89",NA,NA,"Banfora","Permethrin",0.0469079642250433,NA,NA,NA,99.9811778610899,99.9482050714538,100,"sim"
"90",NA,NA,"Banfora","Permethrin",0.048134264521026,NA,NA,NA,99.9819376133447,99.9517289383869,100,"sim"
"91",NA,NA,"Banfora","Permethrin",0.0493763880466343,NA,NA,NA,99.982647763625,99.955507561922,100,"sim"
"92",NA,NA,"Banfora","Permethrin",0.0506343348018682,NA,NA,NA,99.9833126110328,99.9584448183734,100,"sim"
