"","V1","Application","Strain","Insecticide","Dose","Intensity","Subjects","Responded","Mortality_perc","lower","upper","dat"
"1",56,"Tarsal","Tiassale-13","Permethrin",2.6e-05,3.458e-05,29,1,3.448275862,NA,NA,NA
"2",57,"Tarsal","Tiassale-13","Permethrin",0.000128,0.00017024,29,1,3.448275862,NA,NA,NA
"3",58,"Tarsal","Tiassale-13","Permethrin",0.00064,0.0008512,28,4,14.28571429,NA,NA,NA
"4",59,"Tarsal","Tiassale-13","Permethrin",0.0032,0.004256,31,14,45.16129032,NA,NA,NA
"5",60,"Tarsal","Tiassale-13","Permethrin",0.016,0.02128,30,28,93.33333333,NA,NA,NA
"6",61,"Tarsal","Tiassale-13","Permethrin",0.08,0.1064,30,30,100,NA,NA,NA
"7",62,"Tarsal","Tiassale-13","Permethrin",0.4,0.532,30,30,100,NA,NA,NA
"8",63,"Tarsal","Tiassale-13","Permethrin",1.97,2.6201,31,31,100,NA,NA,NA
"9",NA,NA,"Tiassale-13","Permethrin",0,NA,NA,NA,0,0,0,"sim"
"10",NA,NA,"Tiassale-13","Permethrin",7.91161481279192e-06,NA,NA,NA,0.160502454707002,0.000267419863752838,0.831426889107051,"sim"
"11",NA,NA,"Tiassale-13","Permethrin",3.16464592511677e-05,NA,NA,NA,0.556750031980904,0.00427414025721357,2.31455677824172,"sim"
"12",NA,NA,"Tiassale-13","Permethrin",7.12045333151272e-05,NA,NA,NA,1.17825256529492,0.0216055185598477,4.18252867476574,"sim"
"13",NA,NA,"Tiassale-13","Permethrin",0.000126585837004671,NA,NA,NA,2.02535430413779,0.0698787237078424,6.3508827599754,"sim"
"14",NA,NA,"Tiassale-13","Permethrin",0.000197790370319798,NA,NA,NA,3.09902009189131,0.170047610988304,8.71582364933262,"sim"
"15",NA,NA,"Tiassale-13","Permethrin",0.000284818133260509,NA,NA,NA,4.3992475523503,0.348223189942725,11.3490492481704,"sim"
