"","LC","LC_value","Strain","Insecticide"
"1",0.00152395315383421,10,"VK72014","Permethrin"
"2",0.00203660939363849,10,"VK72014","Permethrin"
"3",0.000958252325747572,10,"VK72014","Permethrin"
"4",0.00201729573214673,10,"VK72014","Permethrin"
"5",0.00151182097639062,10,"VK72014","Permethrin"
"6",0.00175124080427501,10,"VK72014","Permethrin"
"7",0.00282282007652658,10,"VK72014","Permethrin"
"8",0.00224291899244912,10,"VK72014","Permethrin"
"9",0.00115118856614743,10,"VK72014","Permethrin"
"10",0.001582673019447,10,"VK72014","Permethrin"
"11",0.00257712075650849,10,"VK72014","Permethrin"
"12",0.0044583698062235,10,"VK72014","Permethrin"
"13",0.00183638496668242,10,"VK72014","Permethrin"
"14",0.00184845082667601,10,"VK72014","Permethrin"
"15",0.000919816754053402,10,"VK72014","Permethrin"
"16",0.00152070653889594,10,"VK72014","Permethrin"
"17",0.00100255092286564,10,"VK72014","Permethrin"
"18",0.00126004037792614,10,"VK72014","Permethrin"
"19",0.00334049882595136,10,"VK72014","Permethrin"
"20",0.00143844746028811,10,"VK72014","Permethrin"
"21",0.000938209972633389,10,"VK72014","Permethrin"
"22",0.00197685690953504,10,"VK72014","Permethrin"
"23",0.00210323028017562,10,"VK72014","Permethrin"
"24",0.00155420107566465,10,"VK72014","Permethrin"
"25",0.00184020023712059,10,"VK72014","Permethrin"
"26",0.0017604671550314,10,"VK72014","Permethrin"
"27",0.00253363393891898,10,"VK72014","Permethrin"
"28",0.00284571238441211,10,"VK72014","Permethrin"
"29",0.00159020585305524,10,"VK72014","Permethrin"
"30",0.00130943503192418,10,"VK72014","Permethrin"
"31",0.00150603177613079,10,"VK72014","Permethrin"
"32",0.00170621467824574,10,"VK72014","Permethrin"
"33",0.00184527274035996,10,"VK72014","Permethrin"
"34",0.00146198550499612,10,"VK72014","Permethrin"
"35",0.0015843798008017,10,"VK72014","Permethrin"
"36",0.00126180521994446,10,"VK72014","Permethrin"
"37",0.00184234174413662,10,"VK72014","Permethrin"
"38",0.00253790909428035,10,"VK72014","Permethrin"
"39",0.00282230551993152,10,"VK72014","Permethrin"
"40",0.00201653161351872,10,"VK72014","Permethrin"
"41",0.00187358709315481,10,"VK72014","Permethrin"
"42",0.00242166446259883,10,"VK72014","Permethrin"
"43",0.0015181657277043,10,"VK72014","Permethrin"
"44",0.000892660621873485,10,"VK72014","Permethrin"
"45",0.00201603827124565,10,"VK72014","Permethrin"
"46",0.00145804480994546,10,"VK72014","Permethrin"
"47",0.0026191641476995,10,"VK72014","Permethrin"
"48",0.00128731136470857,10,"VK72014","Permethrin"
"49",0.00184004083950426,10,"VK72014","Permethrin"
"50",0.00119987768852836,10,"VK72014","Permethrin"
"51",0.00126664138006398,10,"VK72014","Permethrin"
"52",0.00161383576933359,10,"VK72014","Permethrin"
"53",0.00296801443858758,10,"VK72014","Permethrin"
"54",0.000732737935483351,10,"VK72014","Permethrin"
"55",0.00225446533356725,10,"VK72014","Permethrin"
"56",0.0013432740709952,10,"VK72014","Permethrin"
"57",0.0030381062555127,10,"VK72014","Permethrin"
"58",0.00130723686441694,10,"VK72014","Permethrin"
"59",0.00157710174143385,10,"VK72014","Permethrin"
"60",0.00166094963699071,10,"VK72014","Permethrin"
"61",0.00132113278740301,10,"VK72014","Permethrin"
"62",0.00178817394170163,10,"VK72014","Permethrin"
"63",0.00188673950518671,10,"VK72014","Permethrin"
"64",0.00170923242197516,10,"VK72014","Permethrin"
"65",0.00245277033500288,10,"VK72014","Permethrin"
"66",0.00121185655387422,10,"VK72014","Permethrin"
"67",0.00187636208163992,10,"VK72014","Permethrin"
"68",0.00160088180725013,10,"VK72014","Permethrin"
"69",0.00196247567397281,10,"VK72014","Permethrin"
"70",0.00210277461493941,10,"VK72014","Permethrin"
"71",0.00204029985167246,10,"VK72014","Permethrin"
"72",0.00100819571650883,10,"VK72014","Permethrin"
"73",0.00142397985464791,10,"VK72014","Permethrin"
"74",0.00160031532519143,10,"VK72014","Permethrin"
"75",0.00167241796535341,10,"VK72014","Permethrin"
"76",0.0016824344667177,10,"VK72014","Permethrin"
