"","LC","LC_value","Strain","Insecticide"
"1",0.00141570750076116,50,"FUMOZ-R","Permethrin"
"2",0.00129685825210779,50,"FUMOZ-R","Permethrin"
"3",0.00136599896912409,50,"FUMOZ-R","Permethrin"
"4",0.00133350676701624,50,"FUMOZ-R","Permethrin"
"5",0.00123118386408448,50,"FUMOZ-R","Permethrin"
"6",0.00150954758841578,50,"FUMOZ-R","Permethrin"
"7",0.00121451586879305,50,"FUMOZ-R","Permethrin"
"8",0.00140832407902012,50,"FUMOZ-R","Permethrin"
"9",0.00133753820681347,50,"FUMOZ-R","Permethrin"
"10",0.00134108344404102,50,"FUMOZ-R","Permethrin"
"11",0.00138584355340616,50,"FUMOZ-R","Permethrin"
"12",0.00129002334081412,50,"FUMOZ-R","Permethrin"
"13",0.00130155263408742,50,"FUMOZ-R","Permethrin"
"14",0.00119352070176999,50,"FUMOZ-R","Permethrin"
"15",0.00134153486406179,50,"FUMOZ-R","Permethrin"
"16",0.00130263188149587,50,"FUMOZ-R","Permethrin"
"17",0.00120606722397297,50,"FUMOZ-R","Permethrin"
"18",0.00121975808169674,50,"FUMOZ-R","Permethrin"
"19",0.00120512009937241,50,"FUMOZ-R","Permethrin"
"20",0.0013912322166057,50,"FUMOZ-R","Permethrin"
"21",0.00131751987896273,50,"FUMOZ-R","Permethrin"
"22",0.00141802223251725,50,"FUMOZ-R","Permethrin"
"23",0.00131480821235685,50,"FUMOZ-R","Permethrin"
"24",0.00139565511861886,50,"FUMOZ-R","Permethrin"
"25",0.00135682602853989,50,"FUMOZ-R","Permethrin"
"26",0.0013336281426571,50,"FUMOZ-R","Permethrin"
"27",0.00130346600853493,50,"FUMOZ-R","Permethrin"
"28",0.00138617083006318,50,"FUMOZ-R","Permethrin"
"29",0.00123668440335603,50,"FUMOZ-R","Permethrin"
"30",0.00144422667369604,50,"FUMOZ-R","Permethrin"
"31",0.00127986331109221,50,"FUMOZ-R","Permethrin"
"32",0.00137933960594107,50,"FUMOZ-R","Permethrin"
"33",0.0013597675652597,50,"FUMOZ-R","Permethrin"
"34",0.00118815136078444,50,"FUMOZ-R","Permethrin"
"35",0.00117297423201215,50,"FUMOZ-R","Permethrin"
"36",0.00118351512311959,50,"FUMOZ-R","Permethrin"
"37",0.00128384126637738,50,"FUMOZ-R","Permethrin"
"38",0.00132530718440083,50,"FUMOZ-R","Permethrin"
"39",0.00122735867541543,50,"FUMOZ-R","Permethrin"
"40",0.00107384774860615,50,"FUMOZ-R","Permethrin"
"41",0.00128572676675418,50,"FUMOZ-R","Permethrin"
"42",0.00116398303202753,50,"FUMOZ-R","Permethrin"
"43",0.00130773878483504,50,"FUMOZ-R","Permethrin"
"44",0.0014298530633145,50,"FUMOZ-R","Permethrin"
"45",0.00132442510125442,50,"FUMOZ-R","Permethrin"
"46",0.00164267528803039,50,"FUMOZ-R","Permethrin"
"47",0.00142996415999406,50,"FUMOZ-R","Permethrin"
