"","LC","LC_value","Strain","Insecticide"
"1",4.95413230850653e-05,50,"Kisumu","Permethrin"
"2",5.79928613544277e-05,50,"Kisumu","Permethrin"
"3",4.85311047565552e-05,50,"Kisumu","Permethrin"
"4",3.38870826677635e-05,50,"Kisumu","Permethrin"
"5",4.20839537897147e-05,50,"Kisumu","Permethrin"
"6",4.66189127889166e-05,50,"Kisumu","Permethrin"
"7",4.71637763459551e-05,50,"Kisumu","Permethrin"
"8",4.8910785979406e-05,50,"Kisumu","Permethrin"
"9",5.75173422176667e-05,50,"Kisumu","Permethrin"
"10",4.86515157934348e-05,50,"Kisumu","Permethrin"
"11",4.26672765415777e-05,50,"Kisumu","Permethrin"
"12",5.41794572467639e-05,50,"Kisumu","Permethrin"
"13",3.89082017007859e-05,50,"Kisumu","Permethrin"
"14",3.18216110773596e-05,50,"Kisumu","Permethrin"
"15",4.57390016875764e-05,50,"Kisumu","Permethrin"
"16",5.08047030278889e-05,50,"Kisumu","Permethrin"
"17",5.17018324908746e-05,50,"Kisumu","Permethrin"
"18",4.84677059635032e-05,50,"Kisumu","Permethrin"
"19",5.66749349841797e-05,50,"Kisumu","Permethrin"
"20",4.07803695841285e-05,50,"Kisumu","Permethrin"
"21",4.69450317360935e-05,50,"Kisumu","Permethrin"
"22",4.57122040191488e-05,50,"Kisumu","Permethrin"
"23",6.9451595701815e-05,50,"Kisumu","Permethrin"
"24",4.17012992291217e-05,50,"Kisumu","Permethrin"
"25",4.49273042758223e-05,50,"Kisumu","Permethrin"
"26",4.92235152511155e-05,50,"Kisumu","Permethrin"
"27",5.22245603277736e-05,50,"Kisumu","Permethrin"
"28",5.5552643340179e-05,50,"Kisumu","Permethrin"
"29",5.20523422940326e-05,50,"Kisumu","Permethrin"
"30",3.92556028173288e-05,50,"Kisumu","Permethrin"
"31",5.45869879602461e-05,50,"Kisumu","Permethrin"
"32",4.50568982768677e-05,50,"Kisumu","Permethrin"
"33",4.35441736420362e-05,50,"Kisumu","Permethrin"
"34",4.55524311909758e-05,50,"Kisumu","Permethrin"
"35",4.49927679625773e-05,50,"Kisumu","Permethrin"
"36",3.87928485062605e-05,50,"Kisumu","Permethrin"
"37",4.36196081741589e-05,50,"Kisumu","Permethrin"
"38",5.23854088711796e-05,50,"Kisumu","Permethrin"
"39",4.63851805297048e-05,50,"Kisumu","Permethrin"
"40",4.50212552465337e-05,50,"Kisumu","Permethrin"
"41",6.21842616398625e-05,50,"Kisumu","Permethrin"
"42",4.97368049551941e-05,50,"Kisumu","Permethrin"
"43",3.35093739474367e-05,50,"Kisumu","Permethrin"
"44",4.90280661427549e-05,50,"Kisumu","Permethrin"
"45",5.93216850079327e-05,50,"Kisumu","Permethrin"
"46",5.2738498990803e-05,50,"Kisumu","Permethrin"
"47",5.23091028339329e-05,50,"Kisumu","Permethrin"
"48",4.45988803827837e-05,50,"Kisumu","Permethrin"
"49",6.16046909618148e-05,50,"Kisumu","Permethrin"
"50",4.31885652689726e-05,50,"Kisumu","Permethrin"
"51",5.73615243330162e-05,50,"Kisumu","Permethrin"
"52",6.54869005835301e-05,50,"Kisumu","Permethrin"
"53",4.48092470554233e-05,50,"Kisumu","Permethrin"
"54",5.12373243365135e-05,50,"Kisumu","Permethrin"
"55",3.99448327520751e-05,50,"Kisumu","Permethrin"
"56",4.82542963860078e-05,50,"Kisumu","Permethrin"
"57",4.62238359304468e-05,50,"Kisumu","Permethrin"
"58",5.30198330192032e-05,50,"Kisumu","Permethrin"
"59",4.27373455818945e-05,50,"Kisumu","Permethrin"
"60",5.23190076850044e-05,50,"Kisumu","Permethrin"
"61",4.11471296934532e-05,50,"Kisumu","Permethrin"
"62",4.45119133203328e-05,50,"Kisumu","Permethrin"
"63",5.6816783727267e-05,50,"Kisumu","Permethrin"
"64",5.31607510131191e-05,50,"Kisumu","Permethrin"
"65",5.30199709675742e-05,50,"Kisumu","Permethrin"
"66",4.4162376100307e-05,50,"Kisumu","Permethrin"
"67",4.11593547197522e-05,50,"Kisumu","Permethrin"
"68",4.03452212620934e-05,50,"Kisumu","Permethrin"
"69",5.60393440068188e-05,50,"Kisumu","Permethrin"
"70",4.9994205280182e-05,50,"Kisumu","Permethrin"
"71",3.57642497559708e-05,50,"Kisumu","Permethrin"
"72",5.53770558722102e-05,50,"Kisumu","Permethrin"
"73",5.65405777551761e-05,50,"Kisumu","Permethrin"
"74",4.59170733845275e-05,50,"Kisumu","Permethrin"
"75",5.9193562521534e-05,50,"Kisumu","Permethrin"
"76",5.75752161369296e-05,50,"Kisumu","Permethrin"
"77",4.43141992245643e-05,50,"Kisumu","Permethrin"
"78",6.16565215833428e-05,50,"Kisumu","Permethrin"
"79",4.20165221217413e-05,50,"Kisumu","Permethrin"
"80",4.85568546993746e-05,50,"Kisumu","Permethrin"
"81",5.57533568680946e-05,50,"Kisumu","Permethrin"
"82",3.26412787513966e-05,50,"Kisumu","Permethrin"
"83",5.2228784604803e-05,50,"Kisumu","Permethrin"
"84",4.69963108117546e-05,50,"Kisumu","Permethrin"
"85",4.4526648080317e-05,50,"Kisumu","Permethrin"
"86",3.72249401245774e-05,50,"Kisumu","Permethrin"
"87",4.82221789253695e-05,50,"Kisumu","Permethrin"
"88",4.74626365459661e-05,50,"Kisumu","Permethrin"
"89",4.64463393589017e-05,50,"Kisumu","Permethrin"
"90",5.22639697602371e-05,50,"Kisumu","Permethrin"
"91",5.51892643271588e-05,50,"Kisumu","Permethrin"
"92",5.89077950718058e-05,50,"Kisumu","Permethrin"
"93",4.02679663396653e-05,50,"Kisumu","Permethrin"
"94",5.26515785476033e-05,50,"Kisumu","Permethrin"
"95",5.51524424657996e-05,50,"Kisumu","Permethrin"
"96",6.17137650829382e-05,50,"Kisumu","Permethrin"
"97",3.93514984143203e-05,50,"Kisumu","Permethrin"
"98",4.56855780907865e-05,50,"Kisumu","Permethrin"
"99",3.99459282307709e-05,50,"Kisumu","Permethrin"
"100",5.01166275322318e-05,50,"Kisumu","Permethrin"
"101",4.91487502392932e-05,50,"Kisumu","Permethrin"
"102",4.89185153804584e-05,50,"Kisumu","Permethrin"
"103",4.72627170313122e-05,50,"Kisumu","Permethrin"
"104",5.43679477138225e-05,50,"Kisumu","Permethrin"
"105",3.82851922397314e-05,50,"Kisumu","Permethrin"
"106",4.43282192377912e-05,50,"Kisumu","Permethrin"
"107",4.76740748775138e-05,50,"Kisumu","Permethrin"
"108",6.14396484728355e-05,50,"Kisumu","Permethrin"
"109",5.14889263638436e-05,50,"Kisumu","Permethrin"
"110",4.61606257906562e-05,50,"Kisumu","Permethrin"
"111",4.84490896989835e-05,50,"Kisumu","Permethrin"
"112",6.22851440905549e-05,50,"Kisumu","Permethrin"
"113",4.89909763580433e-05,50,"Kisumu","Permethrin"
