"","LC","LC_value","Strain","Insecticide"
"1",0.063106141850829,99,"Tiassale-13","Permethrin"
"2",0.0204686769617298,99,"Tiassale-13","Permethrin"
"3",0.0403246094445564,99,"Tiassale-13","Permethrin"
"4",0.0213369951926097,99,"Tiassale-13","Permethrin"
"5",0.0281610220992998,99,"Tiassale-13","Permethrin"
"6",0.0312039472628565,99,"Tiassale-13","Permethrin"
"7",0.0912391270647962,99,"Tiassale-13","Permethrin"
"8",0.031397227713897,99,"Tiassale-13","Permethrin"
"9",0.0332363192325375,99,"Tiassale-13","Permethrin"
"10",0.0206862659524964,99,"Tiassale-13","Permethrin"
"11",0.0568869207681312,99,"Tiassale-13","Permethrin"
"12",0.0300977421477863,99,"Tiassale-13","Permethrin"
"13",0.0970074066034334,99,"Tiassale-13","Permethrin"
"14",0.0486387273941281,99,"Tiassale-13","Permethrin"
"15",0.0365483735102672,99,"Tiassale-13","Permethrin"
"16",0.0415336007485744,99,"Tiassale-13","Permethrin"
"17",0.105521336215222,99,"Tiassale-13","Permethrin"
"18",0.0268648579125737,99,"Tiassale-13","Permethrin"
"19",0.0295401442235351,99,"Tiassale-13","Permethrin"
"20",0.0446474409397197,99,"Tiassale-13","Permethrin"
"21",0.0344568531921014,99,"Tiassale-13","Permethrin"
"22",0.0271599163057269,99,"Tiassale-13","Permethrin"
"23",0.0606745644407735,99,"Tiassale-13","Permethrin"
"24",0.0117158289450795,99,"Tiassale-13","Permethrin"
"25",0.0319064678046477,99,"Tiassale-13","Permethrin"
"26",0.0314737918618915,99,"Tiassale-13","Permethrin"
"27",0.0286824472166495,99,"Tiassale-13","Permethrin"
"28",0.0414303304307632,99,"Tiassale-13","Permethrin"
"29",0.0233916766833274,99,"Tiassale-13","Permethrin"
"30",0.0263887499838852,99,"Tiassale-13","Permethrin"
"31",0.0283108252381098,99,"Tiassale-13","Permethrin"
"32",0.0844891096955975,99,"Tiassale-13","Permethrin"
"33",0.0396075504963586,99,"Tiassale-13","Permethrin"
"34",0.0368371276787504,99,"Tiassale-13","Permethrin"
